,sentences1,sentences2,is_similar
6640,we looked waiting to get our hands on what we wanted,preparing dinner for tonight and my friend wish turned to be delicious,0
6641,a guy the same my friend was wearing,i got the book i came,1
6642,a guy the same my friend was wearing,the family was excited to move into their home,0
6643,she takes a drag of the cigarette calm,drinks are in order to get everyone in the spirit,1
6644,she takes a drag of the cigarette calm, let s all party,0
6645,drinks are in order to get everyone in the spirit,decided to hang out for a while,1
6646,drinks are in order to get everyone in the spirit,the group of friends arrived to the dance party,0
6647,decided to hang out for a while,sitting they decide its a good time to take a couple s picture,1
6648,decided to hang out for a while,s wedding,0
6649,sitting they decide its a good time to take a couple s picture,they cake,1
6650,sitting they decide its a good time to take a couple s picture,a picture of the happy graduate,0
6651,her coluges were busy setting,everyone was having a good time,1
6652,her coluges were busy setting,our sports teams showed great spirit,0
6653,everyone was having a good time,the were chatting,1
6654,everyone was having a good time,a moon hangs,0
6655,my husband and i were,got on the tram that leads from the parking lot,1
6656,my husband and i were,it was too cold to be out on the deck,0
6657,got on the tram that leads from the parking lot,they had an shuttle display,1
6658,got on the tram that leads from the parking lot,was field,0
6659,they had an shuttle display,they had,1
6660,they had,he got to test one out a simulator,1
6661,they had,the boardwalk had nt had in weeks,0
6662,the groom waits impatiently,the brides father is walking,1
6663,the groom waits impatiently,the trains roared,0
6664,the brides father is walking,a big hug and kiss for the couple,1
6665,the brides father is walking,the voodoo lounge held a halloween party,0
6666,a big hug and kiss for the couple,the couple have chosen their best friends for the wedding party,1
6667,a big hug and kiss for the couple,the car show was awesome,0
6668,the couple have chosen their best friends for the wedding party,of the children want to be in the wedding,1
6669,the couple have chosen their best friends for the wedding party,when i got to the house i decided to buy,0
6670,fall is my favorite season,i love how pretty leaves are,1
6671,fall is my favorite season,i was so glad to attend the graduation ceremony,0
6672,i love how pretty leaves are,it is a great time,1
6673,i love how pretty leaves are,a friendly game of pool,0
6674,it is a great time,leaves have already fallen,1
6675,it is a great time,football what is more,0
6676,leaves have already fallen,i love seeing the trees from my house,1
6677,leaves have already fallen,we stopped to do some window shopping,0
6678,i love seeing the trees from my house,i love this,1
6679,i love seeing the trees from my house,we to,0
6680,he talked about the importance of a good headstone,showed up to do a skit with,1
6681,he talked about the importance of a good headstone,here at a show,0
6682,showed up to do a skit with,they talked about defense,1
6683,showed up to do a skit with,onlookers gathered on the sides for the parade,0
6684,they talked about defense,a girl started dancing,1
6685,they talked about defense,so we,0
6686,hanging  getting some skate time,hit an olie,1
6687,hanging  getting some skate time,our band was playing sold out show and we managed venue packed to the wall,0
6688,it made for a photo,manual  into a frontside,1
6689,it made for a photo,it was but we still came out to raise money for prostate cancer treatment,0
6690,manual  into a frontside,my first time hitting this,1
6691,manual  into a frontside,my friend does too much for her,0
6692,my first time hitting this,i was super excited,1
6693,my first time hitting this,casie and  went to mall to find boyfriends,0
6694,the cars were so,it was nice hanging out with the officials,1
6695,the cars were so,aunt  got,0
6696,the team is having a bbq,the corn on the cob will be,1
6697,the team is having a bbq,the bell was old but not rusty,0
6698,the corn on the cob will be,everyone loves hot dogs,1
6699,the corn on the cob will be,my husband helped out putting up the towns christmas tree,0
6700,everyone loves hot dogs,the cook has wrapped the corn,1
6701,everyone loves hot dogs,the party was starting,0
6702,the cook has wrapped the corn,someone brought the red pepper,1
6703,the cook has wrapped the corn,the couples halloween costume contest was about to begin,0
6704,to hit the slopes,he was going to rest while she skied,1
6705,to hit the slopes,hi,0
6706,he was going to rest while she skied,she got ready to go down,1
6707,she got ready to go down,the view of the mountains was she skied,1
6708,she got ready to go down,washington is a beautiful place there was a memorial were,0
6709,the view of the mountains was she skied,she had a great day,1
6710,the view of the mountains was she skied,our trip to the ski lodge was a,0
6711,this couple visited a star wars convention,the convention featured a recreation of a wars scene,1
6712,this couple visited a star wars convention,house party turned out great,0
6713,the convention featured a recreation of a wars scene,there were effects and lighting and,1
6714,the convention featured a recreation of a wars scene,my mom can be annoying,0
6715,there were effects and lighting and,the storm troopers were nice enough,1
6716,there were effects and lighting and,the stain glass windows were bright,0
6717,the storm troopers were nice enough,was an,1
6718,the storm troopers were nice enough,decided to enter the building contest,0
6719,this is a picture of a stream,this is a picture of a waterfall,1
6720,this is a picture of a stream,is the evening of my graduation,0
6721,this is a picture of a waterfall,this is a picture of a sign,1
6722,this is a picture of a waterfall,we location for the fourth of july,0
6723,this is a picture of a sign,this is a picture of animals,1
6724,this is a picture of a sign,she would get married,0
6725,this is a picture of animals,this is a picture of a woman,1
6726,this is a picture of animals,i had a time waiting for the bus,0
6727,children sit diligently in the classroom,the teddy bear lays on the chair,1
6728,children sit diligently in the classroom,the queens drama club was ready,0
6729,the teddy bear lays on the chair,a boy holds up his red beanie baby,1
6730,the teddy bear lays on the chair,the journey to the island s beach was long,0
6731,a boy holds up his red beanie baby,the girl holds up her pink mouse,1
6732,a boy holds up his red beanie baby,halloween is just another day,0
6733,the girl holds up her pink mouse,the girl holds up her taupe bear,1
6734,the girl holds up her pink mouse,i brought my family to a big festival,0
6735,the windows on this restaurant have this cool embellishment,the back has a cool retro feel,1
6736,the windows on this restaurant have this cool embellishment,the venue was ready the ceremony,0
6737,the back has a cool retro feel,they light up the trees around the building,1
6738,the back has a cool retro feel,went,0
6739,they light up the trees around the building,the white dog was hanging and enjoying the day you see a house,1
6740,they light up the trees around the building,the market was having a huge sale,0
6741,there were lots of neat things to take pictures to the country,was checking,1
6742,there were lots of neat things to take pictures to the country,welcome to the showcase of new technology,0
6743,was checking,i ve never seen a butterfly,1
6744,was checking,year s party,0
6745,i ve never seen a butterfly,is nt it,1
6746,i ve never seen a butterfly,the bride share a kiss the wedding,0
6747,is nt it,the grass was so green the rain,1
6748,is nt it,the they,0
6749,the grass was so green the rain,there were some trees nt gotten back yet,1
6750,the grass was so green the rain,location location is a great place to get away to,0
6751,there were some trees nt gotten back yet,i thought deadwood was,1
6752,there were some trees nt gotten back yet,there was an important meeting of office staff,0
6753,went to the horse race,the rider and his horse were his dissapointment,1
6754,went to the horse race,i went to the race,0
6755,the rider and his horse were his dissapointment,during a obstacles make winners and losers,1
6756,the rider and his horse were his dissapointment,the girls were side making faces,0
6757,during a obstacles make winners and losers,this rider was having trouble coming,1
6758,during a obstacles make winners and losers,we went to the beach,0
6759,this rider was having trouble coming,this rider who lost control earlierin the race was still,1
6760,this rider was having trouble coming,the organization organization is now open for business,0
6761,this rider who lost control earlierin the race was still,i felt,1
6762,this rider who lost control earlierin the race was still,i ten bars at a pub,0
6763,the downtown area has and features wonderful lodging options,there are you to tour,1
6764,the downtown area has and features wonderful lodging options,the groomsmen are gather for the wedding,0
6765,there are you to tour,there are,1
6766,there are you to tour,artists,0
6767,there are,some of the restaurants offer down options,1
6768,there are,friends are out for a night of fun,0
6769,some of the restaurants offer down options,the town will be decorated to celebrate christmas,1
6770,some of the restaurants offer down options,our hotel is so beautiful,0
6771,nothing like a,we got this from someone s backyard pond ,1
6772,nothing like a,every the family would get together and carve pumpkins,0
6773,we got this from someone s backyard pond ,it was time to move into his closure,1
6774,we got this from someone s backyard pond ,the party includes and some not happy guys,0
6775,it was time to move into his closure,we had run like heck out of,1
6776,the family took a train ride to the zoo,the boy was once he got to the zoo,1
6777,the family took a train ride to the zoo,we had,0
6778,the boy was once he got to the zoo,they went on the sky lift to see the animals,1
6779,the boy was once he got to the zoo,our family got to cook out and eat some crabs,0
6780,they went on the sky lift to see the animals,off,1
6781,they went on the sky lift to see the animals,the group gathered for a drinking party,0
6782,off,they loved seeing the zebras,1
6783,off,the to be graduates waited nervously,0
6784,reading is one of the most important things a person learns to do in life,we read to determine what s in our foods and they cost and weigh,1
6785,reading is one of the most important things a person learns to do in life,save the  we re getting married,0
6786,we read to determine what s in our foods and they cost and weigh,we read to find out hours,1
6787,we read to determine what s in our foods and they cost and weigh,we are celebrating are  so we to eat,0
6788,we read to find out hours,where we are,1
6789,we read to find out hours,shopping is an,0
6790,where we are,reading can serve to remind us of the things,1
6791,where we are,where i ate every,0
6792,our company has a central monitoring system,we have,1
6793,our company has a central monitoring system,the buildings are lit of beautifully,0
6794,we have,good monitoring makes for good workers,1
6795,we have,six batman went to,0
6796,good monitoring makes for good workers,the monitoring crew has gotten training,1
6797,good monitoring makes for good workers,this couple played at the bar,0
6798,the monitoring crew has gotten training,we feel they are,1
6799,the monitoring crew has gotten training,relaxing after the day our,0
6800,the statue was monumental,someone had placed a wreath there before,1
6801,the statue was monumental,today s tour starts out with a creepy statue,0
6802,someone had placed a wreath there before,my brothers decided to stay near the wreath while i walked,1
6803,my brothers decided to stay near the wreath while i walked,we all met back there 10 minutes later but no one showed up,1
6804,my brothers decided to stay near the wreath while i walked,this is a picture of babies,0
6805,we all met back there 10 minutes later but no one showed up,we decided to leave,1
6806,we all met back there 10 minutes later but no one showed up,we were be graduating,0
6807,the venue was comfortable,some played the dancing game,1
6808,the venue was comfortable,was adventurous at the party,0
6809,some played the dancing game,played for an hour,1
6810,some played the dancing game,these flowers are they must be kept in a,0
6811,played for an hour,my coworkers talked over drinks,1
6812,played for an hour,costume parties bring out all kinds,0
6813,my coworkers talked over drinks,the ride back was enlightening,1
6814,my coworkers talked over drinks,the town was decorated for christmas,0
6815,they needed to take a motorboat,there were seats and an awning over,1
6816,they needed to take a motorboat,the water ran,0
6817,there were seats and an awning over,you could see other islands and a mountain,1
6818,there were seats and an awning over,the army line was long,0
6819,you could see other islands and a mountain,the island was a rock with trees,1
6820,you could see other islands and a mountain,i will put the beer to pour,0
6821,the island was a rock with trees,the vacationers got and traveled quickly to the island,1
6822,the island was a rock with trees,daddy kissed me goodbye and,0
6823,the vacationers got and traveled quickly to the island,they could see a building,1
6824,the vacationers got and traveled quickly to the island,we got married in a chinese wedding,0
6825,they could see a building,it was well shaded in the trees,1
6826,they could see a building,there was a rally considering all of the iranian areas,0
6827,it was well shaded in the trees,was a material in the tropics,1
6828,it was well shaded in the trees,my friend gave a tour,0
6829,was a material in the tropics,the part of the building was the open atrium,1
6830,was a material in the tropics,the wedding reception was,0
6831,the part of the building was the open atrium,there were plants,1
6832,there were plants,the vacationers planned to spend part of the afternoon,1
6833,there were plants,the gang went out in the extreme cold,0
6834,i went to the pool,i home i put the baby to sleep,1
6835,i went to the pool,we are on our way to location,0
6836,i home i put the baby to sleep,my mom was outside with the children,1
6837,i home i put the baby to sleep,we our uncle s year sobriety,0
6838,my mom was outside with the children,there were in my pool,1
6839,my mom was outside with the children,makes good memories,0
6840,there were in my pool,the children were playing basketball,1
6841,there were in my pool,the guests were gathered looking for the women honor,0
6842,the wedding week was beautiful,i brought a lot of flowers,1
6843,i brought a lot of flowers,all and family were there to show their support,1
6844,i brought a lot of flowers,should serious consider getting married in winter,0
6845,all and family were there to show their support,i took a ton of pictures while,1
6846,all and family were there to show their support,there was food  but nobody,0
6847,i took a ton of pictures while,everyone was dressed up,1
6848,i took a ton of pictures while,i love growing flowers  but there are a varieties,0
6849,a fan,he d he want,1
6850,a fan,the red car was in the lead,0
6851,he d he want,he d had a dream to visit a remote lighthouse,1
6852,he d he want,everyone was getting ready,0
6853,he d had a dream to visit a remote lighthouse,he got he was thrilled,1
6854,he d had a dream to visit a remote lighthouse,people attended a con,0
6855,he got he was thrilled,he loved the signpost that pointed to other lighthouses the world,1
6856,he got he was thrilled,i had my indiana jones costume on and,0
6857,he loved the signpost that pointed to other lighthouses the world,he took a picture of the lighthouse plaque,1
6858,he loved the signpost that pointed to other lighthouses the world,the house i bought required lot,0
6859,he took a picture of the lighthouse plaque,he took hundreds of pictures the,1
6860,he took a picture of the lighthouse plaque,we came to for a,0
6861,she a she has never tried before,helps her relax talking,1
6862,she a she has never tried before,the dance excel,0
6863,helps her relax talking,her friends thought the same thing,1
6864,helps her relax talking,male  is being honored for his hard work,0
6865,her friends thought the same thing,she,1
6866,her friends thought the same thing,s the kids do nt seem to know any better,0
6867,i loved midwinter in the north,the snow is piled up high enough to go sledding,1
6868,i loved midwinter in the north,kids joined in on the,0
6869,the snow is piled up high enough to go sledding,walking on the packed snow is fun,1
6870,the snow is piled up high enough to go sledding,a perfect 4th begins with friends and,0
6871,walking on the packed snow is fun,the roads are nothing but packed snow,1
6872,walking on the packed snow is fun,the party was held,0
6873,the roads are nothing but packed snow,the bare trees allow you to see,1
6874,the roads are nothing but packed snow,the a party for doing on a project,0
6875,are a,they set up the tables real nice,1
6876,are a,i was so tired of looking,0
6877,brings his baby daughter,they,1
6878,we attended our son s graduation,the students stood silently,1
6879,the students stood silently,some of the new students who were entering the academy,1
6880,the students stood silently,there were alot of great costumes,0
6881,some of the new students who were entering the academy,afterwards some the students gave demonstrations what,1
6882,some of the new students who were entering the academy,the diner was a popular spot,0
6883,afterwards some the students gave demonstrations what,there was even time for some silly dancing,1
6884,afterwards some the students gave demonstrations what,was,0
6885,there was even time for some silly dancing,when over the students felt proud of their achievement,1
6886,there was even time for some silly dancing,our sports teams showed great spirit,0
6887,taking before i put on my costume,the makeup is all done,1
6888,taking before i put on my costume,it is early,0
6889,the makeup is all done,it s coming together now i,1
6890,the makeup is all done,here at a show,0
6891,it s coming together now i,i had to get one big smile,1
6892,it s coming together now i,the women s game was,0
6893,i had to get one big smile,i have serious face on now,1
6894,i had to get one big smile,the stage is set for a halloween party,0
6895,i have serious face on now,i think the mask pulled all together,1
6896,i have serious face on now,i went to the bookstore,0
6897,the japanese tech show had toys,a robot was used for,1
6898,the japanese tech show had toys,i found this magazine,0
6899,a robot was used for,segways were redesigned to be more efficient,1
6900,a robot was used for,the table was filled with,0
6901,segways were redesigned to be more efficient,pint robots roamed the tables,1
6902,segways were redesigned to be more efficient,these two woman got a chance to meet,0
6903,pint robots roamed the tables,and child sized robots left everyone,1
6904,pint robots roamed the tables,i i was began to show up,0
6905,time to make some cocktails,we practice moves,1
6906,time to make some cocktails,we started our scenic walk,0
6907,we practice moves,take a,1
6908,we practice moves,the awards banquet was in full effect,0
6909,take a,great,1
6910,take a,the family took the baby to his fireworks show,0
6911,great,our friends are hamms for the camera,1
6912,great,a fireworks show was held,0
6913,our friends are hamms for the camera,smile,1
6914,our friends are hamms for the camera,a day out is there they is buying,0
6915,smile,what a fun night,1
6916,smile,my son s were more ready for the into the woods,0
6917,the flowers at my wedding were beautiful,the flowers matched the bridesmaids dresses,1
6918,the flowers at my wedding were beautiful,so much to see and i,0
6919,the flowers matched the bridesmaids dresses,the pictures came out stunning,1
6920,the flowers matched the bridesmaids dresses,he got ready day,0
6921,the pictures came out stunning,my husband and i ran to take a picture with the sunset,1
6922,the pictures came out stunning,cars,0
6923,this is a picture of a woman,this is a picture of a man,1
6924,this is a picture of a woman,he left his family,0
6925,this is a picture of a man,this is a picture of a couple,1
6926,this is a picture of a man,these were pics i took july,0
6927,this is a picture of a couple,this is as picture of a pie,1
6928,this is a picture of a couple,we had a dinner at a nearby winery,0
6929,this is as picture of a pie,this is a picture of a sign,1
6930,this is as picture of a pie,the president held a banquet,0
6931,we hiked out to the nearby lake,we saw,1
6932,we hiked out to the nearby lake,each guitars cost  2000,0
6933,we saw,we crossed a wooden bridge,1
6934,we saw,i took the train to go visit my brother,0
6935,we crossed a wooden bridge,green moss blanketed the ground,1
6936,we crossed a wooden bridge,this is i i am a little nervous but,0
6937,green moss blanketed the ground,we,1
6938,green moss blanketed the ground,this is the court i visited,0
6939,i i was began to show up,i worried there was a outbreak,1
6940,i i was began to show up,there was a great deal to get done  which caused for the host,0
6941,i worried there was a outbreak,i noticed staff members met with,1
6942,i worried there was a outbreak,look at god s beauty,0
6943,it was a seminar as to how to keep guests safe in case of a breakout,they answering,1
6944,it was a seminar as to how to keep guests safe in case of a breakout,off places are interesting to visit,0
6945,they answering,they posed for pictures,1
6946,they answering,doll collecting is one of my favorite hobbies,0
6947,they posed for pictures,i was so glad there was nothing wrong,1
6948,they posed for pictures,people were getting ready for the new year s arctic plunge,0
6949,we had been in a drought,rained,1
6950,we had been in a drought, everyone met at,0
6951,rained,the road is damp,1
6952,the road is damp,and the cows are enjoying the fields,1
6953,the road is damp,we got the family together for a nice relaxing day  to catch lives,0
6954,and the cows are enjoying the fields,these babies want to come out and play,1
6955,and the cows are enjoying the fields,the workers pulled the panel out of the truck,0
6956,these babies want to come out and play,this is some of the damage from the drought,1
6957,these babies want to come out and play,on a tour of,0
6958,this is some of the damage from the drought,tree roots are exposed,1
6959,this is some of the damage from the drought,the band has a gig tonight,0
6960,the grandparents felt a little weird they were,the grandchild pretended to change a diaper,1
6961,the grandparents felt a little weird they were,the town did nt look like much,0
6962,the grandchild pretended to change a diaper,so the grandparents changed the diaper in the kitchen,1
6963,the grandchild pretended to change a diaper,fans watch the fireworks in the distance,0
6964,so the grandparents changed the diaper in the kitchen,jimmer his mother read from a picture book,1
6965,so the grandparents changed the diaper in the kitchen,the bike is at a bike shop,0
6966,nice decorations outside the for the office christmas party,made everyone feel very appreciated,1
6967,nice decorations outside the for the office christmas party,a meal is prepared,0
6968,made everyone feel very appreciated,the food was a superb all you can eat buffett,1
6969,made everyone feel very appreciated,this was a picture taken ago,0
6970,the food was a superb all you can eat buffett,we are enjoying the delicious meal,1
6971,the food was a superb all you can eat buffett,a dinner at the sandwich shop,0
6972,we are enjoying the delicious meal,drinks and smiles were had by,1
6973,we are enjoying the delicious meal,and i had arrived and i train was early,0
6974,this is our first trip to location,the dragon parade,1
6975,this is our first trip to location,everybody showed up to the town meeting,0
6976,the dragon parade,i no what those mask mean  but,1
6977,the dragon parade,i went to a costume birthday party for my best friend,0
6978,i no what those mask mean  but,whoa  work another amazing float in the dragon parade,1
6979,the bride was so she got married,the bride took pictures at the church,1
6980,the bride was so she got married,we were speeding as fast,0
6981,the bride took pictures at the church,the friends of the married couple were glad to be there,1
6982,the bride took pictures at the church,the neighborhood planned a potluck meal,0
6983,the friends of the married couple were glad to be there,the best man was excited to give his speech,1
6984,the friends of the married couple were glad to be there,workers move the box,0
6985,the best man was excited to give his speech,was perfect,1
6986,the best man was excited to give his speech,the neighbors invited our family over for a pool party,0
6987,there was a book signing event,authors showed up to sign books,1
6988,there was a book signing event,it was a day,0
6989,it,they did not run out of,1
6990,it,a driver wanted to take to their destination,0
6991,the kids were playing on the field and smiling,the city was big the cemetery was,1
6992,the kids were playing on the field and smiling,windows watch the those who work hard on the docks,0
6993,we,a guy was was teaching all kinds of educational stuff,1
6994,we, and i got married,0
6995,it sounded great,we took one picture before we to eat,1
6996,it sounded great,this church holds a dance,0
6997,they argued about who would conduct the main production,the storyboard was placed up could get,1
6998,they argued about who would conduct the main production,kat and  know how to put on a party,0
6999,the storyboard was placed up could get,they inspired into formation,1
7000,the storyboard was placed up could get,i was excited to leave work,0
7001,they inspired into formation,would conduct a masterpiece for organization organization,1
7002,they inspired into formation,we gathered to celebrate the marriage,0
7003,his friends were,this was nt good for nervous,1
7004,his friends were,i invited my we could play together,0
7005,this was nt good for nervous,his,1
7006,this was nt good for nervous,history is important to,0
7007,his,was male  trying to,1
7008,his,is the room we stayed in,0
7009,was male  trying to,grow,1
7010,was male  trying to,the family took a train ride to the zoo,0
7011,this building called,why i was so enraptured,1
7012,this building called,a get together  everyone s so happy,0
7013,why i was so enraptured,i panned around the building,1
7014,why i was so enraptured,s speech to his son s finance class was successful,0
7015,i panned around the building,no luck came,1
7016,i panned around the building,a group of friends having a get together party,0
7017,no luck came,i called my lover,1
7018,no luck came,was got to raise money for,0
7019,i called my lover,may have been caught white,1
7020,new product line our stores will be carryingtoday is and suggested retail pricing,each region representative got to examine and photograph the merchandise,1
7021,new product line our stores will be carryingtoday is and suggested retail pricing,we took the ferry to the market,0
7022,each region representative got to examine and photograph the merchandise,how i do nt spend my paycheck working in this place,1
7023,each region representative got to examine and photograph the merchandise,the food at the restaurant was delicious,0
7024,how i do nt spend my paycheck working in this place,this was the line the ladiesa lot had to deal,1
7025,how i do nt spend my paycheck working in this place,was drinking too much that,0
7026,this was the line the ladiesa lot had to deal, female choose the picture line of do oni honestly think it was her,1
7027,this was the line the ladiesa lot had to deal,we were waiting for the surprise of the night,0
7028,a race car takes off from its crew,number 55 race car waits,1
7029,a race car takes off from its crew,the bride was so she got married,0
7030,number 55 race car waits,a yellow cheerios car is in the lead,1
7031,number 55 race car waits,it s new bullet train,0
7032,a yellow cheerios car is in the lead,the red bud car is falling slightly,1
7033,a yellow cheerios car is in the lead,the meal was started,0
7034,the red bud car is falling slightly,the lowes car is not far,1
7035,the red bud car is falling slightly,going to the city was great,0
7036,was and,her sister always the perfect one that got whatever she wanted,1
7037,was and,my first party in the,0
7038,her sister always the perfect one that got whatever she wanted,her sister s to be husband wondered,1
7039,her sister always the perfect one that got whatever she wanted,i had a great christmas,0
7040,her sister s to be husband wondered,was he they drove away,1
7041,her sister s to be husband wondered,a crowd has gathered,0
7042,it was very crowded in the small apartment,everyone enjoyed the cake,1
7043,it was very crowded in the small apartment,food and conversation  there is nothing getting,0
7044,everyone enjoyed the cake,some people wanted seconds,1
7045,everyone enjoyed the cake,there was a cookout up wonderful,0
7046,it was perfect time to visit the botanical garden,the smallest pedals produced vivid colors,1
7047,it was perfect time to visit the botanical garden,trying a new restaurant is always scary so i,0
7048,the smallest pedals produced vivid colors,the white blossoms were so fragrant,1
7049,the smallest pedals produced vivid colors,arrived with the salmon and steaks,0
7050,the white blossoms were so fragrant,in the pond three new platforms had been added,1
7051,the white blossoms were so fragrant,the new baby was brought to the new house visit,0
7052,in the pond three new platforms had been added,the waterlilies were doing quite,1
7053,in the pond three new platforms had been added,the view from the top was breath  taking,0
7054,the delegates walking,the delegates about to enter conference,1
7055,the delegates walking,there are types of horns,0
7056,the delegates about to enter conference,some needed translators to understand all of the delegates,1
7057,the delegates about to enter conference,a nice business meeting was set up on a day,0
7058,some needed translators to understand all of the delegates,the delegate unveil the new peace plan,1
7059,some needed translators to understand all of the delegates,i ve liked the city part,0
7060,the delegate unveil the new peace plan,the delegates walking away,1
7061,the delegate unveil the new peace plan,this is a big white house castle like,0
7062,the gardening course was filled with fun,edible offshoots were grown,1
7063,edible offshoots were grown,flowers were popular among some growers,1
7064,edible offshoots were grown,i found a box,0
7065,flowers were popular among some growers,species were examined on the table,1
7066,flowers were popular among some growers,he could nt stay,0
7067,species were examined on the table,some contained blooms,1
7068,species were examined on the table,my favorite hockey team has been the location,0
7069,the wedding is tomorrow and i,i went and it went,1
7070,the wedding is tomorrow and i,is male  on the deck of the ship,0
7071,i went and it went,everyone is so excited for the wedding,1
7072,i went and it went,it was time for the actors,0
7073,everyone is so excited for the wedding,all ca nt wait to throw the flowers,1
7074,everyone is so excited for the wedding,three senior students took a cruise of the bay,0
7075,all ca nt wait to throw the flowers,even my hedgehog is excited for the wedding,1
7076,all ca nt wait to throw the flowers,male is a bee keeper,0
7077,prepared our christmas turkey,we sat down to eat,1
7078,prepared our christmas turkey,passed away,0
7079,we sat down to eat,we got to meet our brothers new baby,1
7080,we sat down to eat,is having her first 4th at her new home,0
7081,we got to meet our brothers new baby,he was so sweet,1
7082,we got to meet our brothers new baby,it s the season,0
7083,he was so sweet,to my niece play piano,1
7084,he was so sweet,the homecoming celebration went really well,0
7085,time to enjoy some of the wonderful cake,friends at the party for female,1
7086,time to enjoy some of the wonderful cake,you would nt believe the quality of the meets market,0
7087,there was not much traffic,but the market had a lot of people that were green,1
7088,there was not much traffic,there were of at the convention,0
7089,but the market had a lot of people that were green,many the cat that was nearby,1
7090,but the market had a lot of people that were green,the event was expected to be a success,0
7091,the participants were encouraged to bring perishable food for donation,some of the donation items,1
7092,the participants were encouraged to bring perishable food for donation,every summer there is this party thrown in the neighborhood,0
7093,some of the donation items,one talks with an attendee during a break,1
7094,some of the donation items,christmas is the best time of the year,0
7095,one talks with an attendee during a break,lunch is served,1
7096,one talks with an attendee during a break,not the greatest breakfast,0
7097,lunch is served,a team building exercise after the speaking was done,1
7098,lunch is served,my favorite band has a guitarist,0
7099,the history class was looking at old pictures,they looked at,1
7100,they looked at,the,1
7101,they looked at,the halloween party was so we get together,0
7102,the,they loved seeing how history has changed,1
7103,the,i went to my friend s house party,0
7104,job has decided to have a croquet picnic,female takes her son,1
7105,job has decided to have a croquet picnic,the game is timeless and it is to pass,0
7106,female takes her son,has his turn in the croquet tournament,1
7107,female takes her son,grandma reading the pamphlet,0
7108,has his turn in the croquet tournament,he concentrates on his shot,1
7109,he concentrates on his shot,male takes his turn on the croquet match,1
7110,he concentrates on his shot,the nightclub was filled to,0
7111,male takes his turn on the croquet match,the concentration paid,1
7112,male takes his turn on the croquet match,i waited at the airport,0
7113,he stood by the fish tank waiting,waiting,1
7114,he stood by the fish tank waiting,were stranded in the rain they were able to get bikes to travel,0
7115,waiting,people start arriving at the party in costumes,1
7116,waiting,the organization homecoming game recognized breast cancer awareness,0
7117,people start arriving at the party in costumes,they started discussing the scenery,1
7118,people start arriving at the party in costumes,is male  who is the host of the party,0
7119,they started discussing the scenery,everyone poses end to take a picture,1
7120,they started discussing the scenery,the committee of rules is meeting,0
7121,there was lots to see at,stalls had handmade clothing and one,1
7122,there was lots to see at,was the night of our big school dance,0
7123,stalls had handmade clothing and one,there were one could touch,1
7124,stalls had handmade clothing and one,the lecturer started by introducing himself,0
7125,there were one could touch,stalls were adorned with handmade glass bottles,1
7126,there were one could touch,the boys gathered to go out that night,0
7127,stalls were adorned with handmade glass bottles,were in attendance  the biggest turn out,1
7128,stalls were adorned with handmade glass bottles,this is a picture of a woman,0
7129,the,the leader had some words,1
7130,the,the house s haunted decor took hours,0
7131,the leader had some words,he brought a speakers,1
7132,the leader had some words,this man is going hiking,0
7133,he brought a speakers,people began arriving to support the company,1
7134,he brought a speakers,there was no the there was no one in the water,0
7135,people began arriving to support the company,the innovations were showed off,1
7136,people began arriving to support the company,did i tell about this,0
7137,the fashion show was a success,the women all looked beautiful,1
7138,the fashion show was a success,the yearly family reunion had the best food,0
7139,the women all looked beautiful,the men looked great,1
7140,the women all looked beautiful,my company went on a team building,0
7141,the men looked great,this woman looked stunning,1
7142,this woman looked stunning,the kids got in on the fun too,1
7143,this woman looked stunning,number 19 at the soccer game at park,0
7144,it was saturday the,the flowers and plants were healthy  clean,1
7145,it was saturday the,this is my place of employment,0
7146,the flowers and plants were healthy  clean,the orchids were tempting,1
7147,the flowers and plants were healthy  clean,food is being prepared for the party,0
7148,the orchids were tempting,i enjoy the buckets of flowers i can,1
7149,the orchids were tempting,taking a tour of buildings,0
7150,i enjoy the buckets of flowers i can,there was a selection it seemed,1
7151,i enjoy the buckets of flowers i can,when i was i art,0
7152,there was a selection it seemed,i did nt mind  because flowers manage to brighten a,1
7153,there was a selection it seemed,i had a time at the house party,0
7154,i did nt mind  because flowers manage to brighten a,i was having a hard time ,1
7155,i was having a hard time ,we managed to pick out two bouquets,1
7156,i was having a hard time ,dad likes to take  on the lake,0
7157,we managed to pick out two bouquets,i then chose another bouquet for my flower friend,1
7158,we managed to pick out two bouquets,the group decided to play a drinking game  they got their cups,0
7159,the organization was protesting against water,the protest took,1
7160,the protest took,this,1
7161,the protest took,today was the move in day for the college student,0
7162,this,they drew,1
7163,this,the firetruck making too much noise,0
7164,they drew,protesters walked the streets,1
7165,they drew,a military graduation is a,0
7166,protesters walked the streets,i,1
7167,protesters walked the streets,it was dad s 74 birthday,0
7168,families gathered to the church,they arrived for the reception,1
7169,families gathered to the church,i went to the bookstore,0
7170,they arrived for the reception,the dj announced the new bride as they,1
7171,they arrived for the reception,staring the day at the,0
7172,the dj announced the new bride as they,everyone enjoyed a catered dinner,1
7173,the dj announced the new bride as they,the lighthouse was tall,0
7174,everyone enjoyed a catered dinner,they topped off the,1
7175,everyone enjoyed a catered dinner,we got some pictures with the lead vocalist,0
7176,the chief came to,he talked with for awhile,1
7177,the chief came to,we are going over the bridge to go for a nice hike,0
7178,he talked with for awhile,we got to meet his team,1
